,Session,Question,Question from,Party,Date Dated,Date Answered
3090,2022-2023," Mitt spørsmål går  også til finansministeren.

Den siste tiden har det vært en del skattedebatt som har frustrert meg. Mange – ikke nødvendigvis statsråden, men andre – har blandet epler, pærer og appelsiner til det som snart er en skattepolitisk fruktsalat. Så for å rydde litt, hvis vi ser bort fra den gudegitte naturen, er det to aktører som trengs for å skape verdier. Det er de som bidrar med arbeid, og de som bidrar med kapital.

Når det gjelder skattesystemet for lønnsinntekt, har regjeringen gjort veldig mye bra – tommel opp, og jeg har ikke så mye å si om det – men i skattesystemet for kapitalinntekt er det mange hull og mange problemer. Det er det som gjør at SSB i sin forskningsrapport har kommet til at rørleggere og butikkarbeidere betaler mer skatt per krone de tjener, enn de aller rikeste i Norge gjør. Det er ingen partier som har vedtatt det, og jeg tror ikke så mange kan forsvare det heller. Likevel er det slik, fordi man har noen åpenbare hull og noen hull som kanskje ikke var der, men som de rike har funnet selv. Som økonomiprofessor Rolf Aaberge sa til Klassekampen i forrige uke: Norge er nærmest et skatteparadis for bedriftseierne.

Dette er ting som ikke er umulig å gjøre noe med, men det krever endringer i en del strukturelle sider ved skattesystemet. Så mitt spørsmål til statsråden blir i første omgang: Er han fornøyd med et skattesystem der folk flest betaler mer skatt per krone man tjener, enn det de aller rikeste gjør?

",Marie Sneve Martinussen,Rødt,2023-03-29,2023-03-29
3091,2022-2023," Velferden må stadig  gjenoppfinnes, forsvares og forsterkes. Det er et langsiktig arbeid.  I tider med uro og voksende ulikhet er det enda viktigere at det  rød-grønne flertallet tar det ansvaret. Derfor er det alvorlig å  følge med på situasjonen i velferden vår. I sykehusene er det store  budsjettkutt, med dertil oppsigelser og nedleggelser. Det er fastlegekrise,  det er kutt i høyere utdanning, og det er krise i kriminalomsorgen  – for å nevne noe.

Kostnadsveksten i 2022 var høyere enn budsjettert, og den er ikke blitt fullt kompensert. Også årets budsjett har for lave anslag for prisveksten, og det gjør vondt verre. For deler av offentlig sektor kommer denne innstrammingen på toppen av flere år med høyreregjeringens ostehøvelkutt. Det blinker rødt for deler av velferden. Hvis velferdsstaten skal ha brei oppslutning, må den være mer enn bare et sikkerhetsnett. Den må utvikles og skinne. Hvis folk opplever at den offentlige velferden ikke er der for dem når de trenger den som mest, vil de med de store lommebøkene se etter andre muligheter på det private markedet.

Nordmenn etterspør i dag og kommer fortsatt til å etterspørre bedre velferdstjenester. Det følger med den velstandsøkningen vi opplever privat, men også i fellesskap, og det ligger i samfunnskontrakten vi har inngått i Norge. Spørsmålet er hvordan samfunnet skal levere disse tjenestene til folket. Skal vi fortsatt ha felles velferd, der alle sikres et godt og tilpasset tilbud uavhengig av økonomi, eller skal størrelsen på bankkontoen avgjøre hva slags helse og omsorg folk kan kjøpe seg på det private markedet?

Spørsmålet til finansministeren er om han er med på dette resonnementet, og at det er en fare for økt privatisering hvis offentlig velferd svekkes gjennom budsjettkutt.

",Kari Elisabeth Kaski,Sosialistisk Venstreparti,2023-03-29,2023-03-29
3092,2022-2023," Mitt spørsmål går til  justisministeren.

Budsjettsituasjonen for norsk politi er dramatisk. I politidistrikt etter politidistrikt over hele landet rapporteres det om kraftige kutt og færre stillinger. Flere politiledere går ut og uttrykker sin bekymring.

Ifølge Politiets Fellesforbund innebærer tildelt ramme en reell reduksjon tilsvarende 847 – jeg gjentar: 847 – mill. kr, og minimum avvikling av 330 politiårsverk i år, mest sannsynlig langt mer. Bare i januar ble kuttene i antall politiansatte på 112 på én måned, altså en–en–to. Det er mer enn en symbolsk nødmelding, det er alvor nå.

Så må justisministeren gjerne vise til at hun har varslet styrking av politiet i revidert nasjonalbudsjett på grunn av økt prisvekst, men kuttene i politiet for 2023 ble vedtatt av regjeringspartiene og SV med åpne øyne.

I 2020 beskyldte den nåværende finansministeren Trygve Slagsvold Vedum Fremskrittspartiet for å ha «gjort hverdagen enklere for kriminelle». Det kunne ha vært fristende å si det samme om Senterpartiet i 2023, men jeg vil ikke bruke akkurat de ordene – selv om det er et faktum at saker nå henlegges på grunn av politiets ressurssituasjon, også saker med kjent gjerningsmann.

Hvordan kan justisministeren forsvare at regjeringen utraderer politistillinger over hele landet? Bør vi ringe 112?

",Per-Willy Amundsen,Fremskrittspartiet,2023-03-29,2023-03-29
3093,2022-2023," Siden vi har finansministeren  i salen, må vi bare fortsette å diskutere skatt også i dag. 

I går la regjeringa fram sitt forslag om havbruksskatt. Statsministeren fulgte opp i E24 med at vi i Høyre nå fikk noen timer på oss til å vurdere om vi melder oss inn eller ut. For Høyre er det ikke aktuelt å gå videre med den modellen som regjeringa har lagt på bordet. Modellen er tilnærmet lik den som ble sendt på høring. Det er gjort lite endringer. Regjeringa har heller ikke vist særlig vilje til å justere innretning eller nivå. Spørsmålet nå er om regjeringspartiene er villig til å se etter pragmatiske løsninger i Stortinget for å få fram et bredt forlik, og finne fram til en løsning som kan ha god legitimitet, og som kan stå seg over tid. Vi har for vår del vært tydelige på at regjeringa bør få utredet alternative modeller, slik vi har fått innspill om i høringsprosessen. Det kan gi grunnlag for et bredt forlik. Dette er nå opp til regjeringa. 

Spørsmålet til finansministeren er: Er det nå viktigst for regjeringa å trumfe gjennom sin modell, eller å få til et bredt forlik i Stortinget?

",Helge Orten,Høyre,2023-03-29,2023-03-29
3094,2022-2023,"Kvalitetssikring 2 for Møreaksen del 1, frå Vik til Molde, er no levert og viser ei netto samfunns-nytte på negative 7,5 milliardar kroner. I ei nyleg meiningsmåling utført av Sunnmørsposten ynskjer berre 24 pst. av befolkninga i Møre og Romsdal Møreaksen realisert.
Kan statsråden forklare logikken i at Statens vegvesen framleis held på å planlegge eit prosjekt til mange titals milliardar kroner, med ei netto samfunns-nytte på heile minus 7,5 milliardar kroner, eit prosjekt som folket i Møre og Romsdal ikkje vil ha?",Frank Edvard Sve,Fremskrittspartiet,2023-03-28,2023-04-26
3095,2022-2023,"Viltloven § 4 slår fast at det er følgende organer i viltforvaltningen: departementet, Miljødirektoratet, statsforvalteren, fylkeskommunen og kommunen.
Hvorfor har regjeringen da valgt å flytte viltforvaltningen fra Miljødirektoratet til Landbruksdirektoratet uten å fremme forslag om å endre viltloven?",Rasmus Hansson,Miljøpartiet De Grønne,2023-03-28,2023-04-19
3096,2022-2023,"Nylig spurte jeg statsråden om hvordan han i tildeling i forhåndsdefinerte områder med 92 nye oljefelt har tatt hensyn til barns beste. Svaret om at hensynet til klima og havmiljø, og til fremtidige generasjoner gis en helhetlig vurdering i petroleumspolitikken er ikke tilfredsstillende for å møte de krav som følger av Grunnloven § 104, sett i lys av både Klimapanelets rapport og at klimaendringer er en av de største truslene mot barns rettigheter. 
Mener statsråden at Grunnloven § 104 ikke er relevant for vurderinger som gjøres i forbindelse med tildeling i forhåndsdefinerte områder 2023?",Kristoffer Robin Haug,Miljøpartiet De Grønne,2023-03-24,2023-04-19
3097,2022-2023,"Ny firefelts E39 mellom Kristiansand og Stavanger er overmoden for realisering. Ulykker, kø og uønskede hendelser er nærmest normalen framfor unntaket, og én ulykke er én for mye. Under en veikonferanse på Utsikten hotell i Kvinesdal 9. mars i år ga statssekretær Tom Kalsås fra Arbeiderpartiet utrykk for at fullstendig ferdigstillelse av ny firefelts E39 mellom Kristiansand og Stavanger kan måtte vente så lenge som til 2044.  
Hva vil statsråden gjøre for at for at en trafikksikker og moderne firefelts E39 skal stå ferdig før 2044?",Gisle Meininger Saudland,Fremskrittspartiet,2023-03-23,2023-04-26
3098,2022-2023,"Ordførerne i Hamar, Elverum, Engerdal, Trysil, Stor-Elvdal, Åsnes, Våler og Åmot og flere fagmiljøer i Sykehuset Innlandet HF er samstemte idet de ber om at statsråden sørger for at nullpluss-alternativet utredes fullt ut, og på en sammenlignende måte, før en endelig beslutning om framtidig sykehusstruktur i Innlandet fattes.
Vil statsråden imøtekomme deres ønsker?",Carl I. Hagen,Fremskrittspartiet,2023-03-23,2023-04-19
3099,2022-2023,"Det foreligger et bredt ønske om fleksible og konkurransedyktige fastprisavtaler for næringslivet, men fornybarnæringen peker på flere regulatoriske hindre i veien for å sikre at avtalene er så forutsigbare og fleksible som markedet har potensial til å tilrettelegge for.
Vil statsråden sørge for et sterkere insentiv i skatterammene for å få fart på fastprisavtalemarkedet?",Ane Breivik,Venstre,2023-03-23,2023-03-29
3100,2022-2023,"En fastlege i Haugesund er fratatt retten til å praktisere for trygdens regning etter at Nav har gått gjennom 15 pasientjournaler. Manglende journalføring oppgis som grunn, men reaksjonen fra Nav går mest ut over legens 1 500 pasienter. Nav krever at legen leverer ut komplette journaler der alle helseopplysninger, gitt i fortrolighet i lege-/pasientforholdet, brettes ut. 
Mener statsråden denne reaksjonsformen, med en så stor informasjonsdeling, er forholdsmessig og ivaretar pasientenes beste i en presset fastlegesituasjon?",Sveinung Stensland,Høyre,2023-03-23,2023-03-29
3101,2022-2023,"ESA har opprettet en sak for å undersøke lovligheten av de nye innleiereglene. 
Kan statsråden garantere at forbudet mot innleie på byggeplasser i Oslo-regionen og de generelle innstrammingene i innleie av arbeidskraft vil bli gjennomfør slik de er vedtatt av Stortinget, selv om ESA skulle konkludere med at innleiereglene ikke er forenlige med EØS-avtalen og vikarbyrådirektivet?",Mímir Kristjánsson,Rødt,2023-03-23,2023-03-29
3102,2022-2023,"Nylig vedtok EU-parlamentet strengere energikrav til bygg, noe som er viktig for energieffektivisering, men medfører store kostnader for folk. Fra før av finnes det en rekke krav til bygg og energieffektivitet fra EU som Norge ikke har innført. Våre regler er svakere. Samtidig som strengere krav er på vei, mangler vi gode støtteordninger for energieffektivisering som er tilgjengelige for folk med vanlig inntekt. Regjeringen har enda ikke levert på Stortingets vedtak i flere omganger. 
Når er bedre støtte til energitiltak på plass?",Sofie Marhaug,Rødt,2023-03-23,2023-03-29
3103,2022-2023,"Meiner statsråden det er uproblematisk for norsk næringsliv og samfunnsutvikling at norske eigarar av bedrifter dei to siste åra har fått ei vesentleg høgare skattebyrde enn utanlandske eigarar av norske bedrifter, og i tilfelle statsråden meiner dette ikkje er uproblematisk – kva konkrete grep vil regjeringa gjere for å lette skattebyrda for norske eigarar og gje dei rammevilkår som gjev dei grunn til å tru at dei er velkomne i Noreg og ikkje berre nokon som bør «ryke og reise»?",Alfred Jens Bjørlo,Venstre,2023-03-23,2023-03-29
3104,2022-2023,"I januar proklamerte statsråden med brask og bram at Seljord får fire nye politistillinger. For kort tid siden informerte politistasjonssjef Dag Størksen i Telemark om at politiet må kutte ti politistillinger i 2023. Dette står i grell kontrast til utsagnet i januar og betyr at Senterpartiet og Arbeiderpartiet nå sørger for et mer utrygt Telemark.
Er ikke dette å feilinformere innbyggerne, og hvordan kan statsråden mene at et kutt på ti stillinger er å styrke politiet?",Bård Hoksrud,Fremskrittspartiet,2023-03-23,2023-03-29
3105,2022-2023,"Vanlige folk er bekymret over sin egen økonomi. Strømmen blir dyrere, matvarene koster mer, drivstoffprisene for de som bruker bil, setter nye rekorder samtidig som rentespøkelset følger etter. På toppen av disse utgiftene kommer det skatter og gebyrer fra norske kommuner fordi du eier en bolig eller en hytte. På grunn av usikkerhet rundt økonomien vil mange unngå å bruke hytta. Dette rammer små kommuner som lever av inntekter fra hyttebefolkningen som inntektskilde.
Mener statsråden at skatt på hjem og hytter er bra?",Erlend Wiborg,Fremskrittspartiet,2023-03-23,2023-03-29
3106,2022-2023,"Under Senterpartiets landsmøte ble det vedtatt at politiet må sikres lovhjemmel til å avdekke bruk, besittelse og salg av narkotika. Parlamentarisk nestleder i Senterpartiet bekrefter at de ønsker å gi politiet en mer generell adgang til å rusteste og ransake uten konkret mistanke. Vedtaket har fått sterk kritikk fordi en slik adgang vil bryte med menneskerettighetene og rettsstats-prinsipper som forholdsmessighet.
Er statsråden enig i at politiet bør sikres en slik adgang, uavhengig av rettssikkerheten til rusavhengige og andre?",Sandra Bruflot,Høyre,2023-03-23,2023-03-29
3107,2022-2023," Sykehusøkonomien er  hardt presset. Helsekøene øker, og i sin sykehustale sa helseministeren  at handlingsrommet for sykehusene reduseres. Regjeringen har med  sitt svake sykehusbudsjett og sine svært uforutsigbare økonomiske  signaler skapt en krevende situasjon både for pasienter og ansatte  i spesialisthelsetjenesten over hele landet. 

Samtidig som det fortsatt er et stort etterslep av pasienter som venter på behandling etter koronapandemien, og helsekøene stadig øker, har statsministerens regjering vist en historisk fiendtlig innstilling til private som kan og ønsker å bidra. Innenfor rus og psykisk helse forsvinner nå behandlingsplasser fordi regjeringen avviklet fritt behandlingsvalg uten å lage en gjennomtenkt og forsvarlig overgangsordning. Verken Modum Bad eller Vangseter, f.eks., har fått erstattet de behandlingsplassene de hadde gjennom fritt behandlingsvalg, gjennom anbudsavtale med helseforetaket. Også i somatikken må mange pasienter som tidligere fikk behandling hos private når kapasiteten var sprengt i det offentlige, leve med fristbrudd og venting. 

I Stortinget har statsministeren gjentatte ganger sagt at mange av tilbudene hos fritt behandlingsvalgsleverandører fortsatt vil være tilbud i framtiden gjennom avtaler med helseregionene. Men det er ikke det som skjer. Plasser legges ned, tilbud forsvinner, og mennesker som trenger hjelp, henvises til stadig lengre køer. Hvor langt er statsministeren og regjeringen villig til å gå i sin ideologiske motstand mot private helsetilbud på bekostning av pasienter som trenger helsehjelp?

",Tone Wilhelmsen Trøen,Høyre,2023-03-22,2023-03-22
3108,2022-2023," Norges nåværende langsiktige  klimamål, som er nedfelt i klimaloven, er at Norge skal være et  lavutslippssamfunn som har kuttet 90–95 pst. utslipp innen 2050.  IPCCs nye synteserapport slår fast at den globale oppvarmingen går  enda raskere enn tidligere beregnet, og at den med dagens utslippstakt  vil passere 1,5 grader – som vi hadde håpet å holde oss innenfor  – allerede om 10 år, med kurs for 3 grader.

Under lanseringen av den rapporten sa FNs generalsekretær Guterres at rike land derfor bør framskynde sine mål om netto nullutslipp til 2040. Det sa han antagelig fordi rike land slipper ut mer, har tjent mer og har større muligheter til å kutte utslipp enn fattige land.

Spørsmålet til statsministeren er: Når FNs generalsekretær på grunnlag av nye klimadata anbefaler at rike lands nullutslippsmål framskyndes til 2040, vil da statsministeren ta initiativ til å framskynde Norges lavutslippsmål i klimaloven til 2040?

",Rasmus Hansson,Miljøpartiet De Grønne,2023-03-22,2023-03-22
3109,2022-2023," I dag, den 22. mars, er det  fem år siden stortingsflertallet vedtok tilslutning til EUs tredje  energimarkedspakke – og å underlegges EU-byrået ACER. I den forbindelse  ble det fra Arbeiderpartiet formulert åtte ufravikelige krav som  lå til grunn for det som ble et forlik mellom partiene som sa ja  til ACER. Blant disse punktene i forliket var et punkt om at det  skal være nasjonal og samfunnsmessig kontroll over vannkraftressursene.  Som følge av dette vedtaket for fem år siden ble også Reguleringsmyndigheten  for energi, RME, opprettet, et uavhengig forvaltningsorgan som ikke  kan instrueres av det norske demokratiet. Energiloven sier at reguleringsmyndigheten  og klagenemnda er uavhengige og kan ikke instrueres om utøvelsen  av tillagt myndighet. Gjennom denne pakken har EU klart definert  hvilke myndigheter dette skal være.

Et spørsmål som er av strategisk betydning for Norge, og som gjelder den samfunnsmessige kontrollen over vannkraftressursene, er hvilken pris denne vannkraften kan selges for til norske bedrifter og husholdninger i Norge. I januar meldte NTB at det er EUs tredje energimarkedspakke som setter en stopper for muligheten til å skille mellom innenlands strøm og strøm til eksport. Da sa en statssekretær fra regjeringen at det kilden sa, var likelydende med tilbakemeldingene de hadde fått fra RME. 

Hvis det er nettopp ACER som hindrer oss i å sette en innenlands pris på strøm, vil statsminister Støre da si seg enig i at vi dermed ikke har denne nasjonale kontrollen over vannkraftressursene som lå til grunn for ACER-tilslutningen?

",Bjørnar Moxnes,Rødt,2023-03-22,2023-03-22
3110,2022-2023," Vi står i mange kriser samtidig  nå, men jeg er ikke i tvil om at den største krisen vi må løse,  er klima- og naturkrisen. I den siste klimarapporten fra FN understrekes  det at de valgene vi tar dette tiåret, vil påvirke jorden i tusenvis  av år framover. Men det haster også mer enn noensinne. En nøkkel  til rask omstilling i Norge er raskere implementering av EUs klimapolitikk  i Norge. 

I 2018 og 2019 vedtok EU den såkalte ren energi-pakken. Det er den mest ambisiøse og omfattende energipakken så langt. Målet med den er å få fortgang på overgangen fra fossil til fornybar energi, få mer energieffektivitet, bedre forsyningssikkerhet i det europeiske strømmarkedet, pluss at dette også er et viktig verktøy for å oppfylle forpliktelsene i Parisavtalen. 

Når vi ser på tallene fra f.eks. Bloomberg, ser vi at tempoet i det grønne skiftet har økt betydelig i Europa bare fra 2021 til 2022. Energi fra sol, vind og batterier i Europa har økt med om lag 40 pst. på bare ett år. 

Gjennomføringen av denne pakken er avgjørende for å nå Norges klimamål og sikre forutsigbare og stabile rammevilkår for norsk næringsliv. Likevel har finansministeren uttalt at det er uaktuelt å vedta denne energipakken. Til Dagbladet i februar sa Trygve Slagsvold Vedum: 

Mitt spørsmål til statsministeren er: Er det aktuelt for denne regjeringen å ikke innføre EUs ren energi-pakke og dermed si nei til fortgang i Norges kutt i klimagassutslippene?

",Guri Melby,Venstre,2023-03-22,2023-03-22
3111,2022-2023," Verden trenger en enorm omstilling  for å nå klimamålene, og vi trenger en stor omstilling i eget samfunn  for industri og arbeidsplasser. Verdens klimaforskere sier at den  siste rapporten er en siste advarsel. I USA ser vi at Biden lanserer «inflation  reduction act», som på kort sikt har skapt lovnader om 100 000 arbeidsplasser.  Her hjemme er det samlede budskapet fra LO og NHO at vi mangler om  lag 115 000 arbeidsfolk for å sikre det grønne skiftet. 

Vi vet at EU akkurat nå også jobber med en stor grønn industripakke, som vil møte USAs grønne kjempe. Det er en pakke som Norge enn så lenge velger å stå på utsiden av, ikke fordi den ikke er god nok, men fordi regjeringen ikke er enig med EU i at oljeutvinning i Arktis er dårlig. Verden legger nå om tempoet for å bygge ny, grønn industri og for å nå klimamålene. Dommen fra FNs klimapanel er at alle oljefeltene som allerede er i produksjon, vil føre til at vi ikke når klimamålene og 1,5-gradersmålet.

Ved ikke å gire opp akselererer både klimakrisen og faren for industridød. Da bør vi etter SVs syn si ja til EUs industriplan og nei til mer oljeleting i Arktis. Derfor lurer jeg på hvorfor olje og gass i Arktis virker å være viktigere for statsministeren enn en industriell omstilling.

",Kirsti Bergstø,Sosialistisk Venstreparti,2023-03-22,2023-03-22
3112,2022-2023," Fremskrittspartiet mener  vi må skape før vi kan dele. Vi mener at verdiskapere flest er viktige,  at de fortjener honnør, og at privat verdiskaping er helt essensielt  for at vi skal utvikle lokalsamfunn i Norge.

Arbeiderpartiet og Senterpartiet har skapt en ny usikkerhet i næringslivet, som i hvert fall ikke jeg kan huske at vi har sett før. Det er noe nytt i Norge at vi har fått politisk risiko, og det har kommet ved at vi har fått tidenes skattebombe, vi har fått skatter med tilbakevirkende kraft, og vi har fått endrede rammebetingelser. Vi ser en regjering som tapper lønnsomme bedrifter, og som subsidierer næringer som ingen vet om blir lønnsomme. Norske bedrifter straffes hardere og betaler mer skatt.

Så omtales de også veldig negativt: velferdsprofitører, laksebaroner. Man får en følelse av at de som skaper verdier, er noen skurker. Vi synes ikke synd på de rike – de greier seg. Men det er synd at denne holdningen er der blant framtredende personer i vårt samfunn. Statsministeren har tidligere tatt avstand fra uttalelser fra LO-lederen, Peggy Hessen Følsvik, som skulle ta de rike. Det er bra. I helgen så vi regjeringens støttehjul, SV, i fri dressur. Bergstø signaliserer hardere beskatning av norske bedrifter, avskaffelse av arbeidslinja – det skal altså ikke lønne seg å jobbe. Og Røkke, som personlig har betalt milliarder av kroner i skatt gjennom sine år i Norge, blir bedt om å ryke og reise – noe han for øvrig har gjort på grunn av Støre-regjeringens politikk. 

Hva tenker statsministeren om Kirsti Bergstøs uttalelser? Og hvordan kan Arbeiderpartiet gi makt og innflytelse til et parti som i praksis vil legge ned olje- og gassnæringen, og som vil beskatte næringslivet hardere og til overmål fjerne arbeidslinja?

",Sylvi Listhaug,Fremskrittspartiet,2023-03-22,2023-03-22
3113,2022-2023," Siden regjeringens pressekonferanse  i slutten av september i fjor har vi sett en brå oppbremsing av  en rekke investeringer i Norge. Vi har opplevd at uroen ute er supplert  av en uro hjemme for fremtidsutsiktene på grunn av regjeringens  skattepolitikk. Vi opplever betydelig uro i mange lokalsamfunn –  uro for hvor jobbene deres går, uro for fremtidsutviklingen for  flere av Norges viktigste næringer – og vi opplever at både børssjefen  og andre analytikere sier at vi har innført politisk risiko ved  investeringer som påvirker utlendingers vilje til å investere i  Norge. Vi er altså dårligere rustet for å få til de store omstillingene  vi trenger, og har mindre mulighet for å hente kapital internasjonalt  hvis dette bildet fortsetter. 

Vi har sett stor stopp i kraftinvesteringene, vi har sett stor stopp i investeringer knyttet til laksenæringer. Jeg har derfor god forståelse for hvorfor statsministeren og finansministeren ved starten av sin budsjettkonferanse følte behov for å forsøke å berolige landet om skattepolitikken til regjeringen fremover, for da var budskapet fra statsministeren ingen generelt økte skatter i Norge fremover i resten av denne perioden, og fra finansministeren at det samlede skattetrykket ikke skal opp. 

Hvis dette skal virke beroligende, er det kanskje viktig for folk og resten av oss å vite: Hva definerer man da som det samlede skattetrykket? Fra hvilket nivå er det regjeringen tenker at man ikke skal øke skattene videre? Er det fra årets budsjett, eller er det fra årets budsjett minus de midlertidige skattene?

",Erna Solberg,Høyre,2023-03-22,2023-03-22
3114,2022-2023,"Til Vårt Land onsdag 22. mars opplyser utviklingsministeren at hun vil gjennomføre et informasjonsmøte med sivilsamfunnsorganisasjonene om omdisponering av midler til flyktningutgifter. 
Kan statsråden svare på hvilke forventninger hun har til flyktningutgifter i år og neste år, og hvilke omdisponeringer på utviklingsbudsjettet som vil følge av dette?",Ingjerd Schie Schou,Høyre,2023-03-22,2023-03-29
3115,2022-2023,"Nye Kostra-tall viser som vanlig at norske kommuner har større overskudd enn inntekter fra eiendomsskatt på vanlige folk sine hus. Dette forteller oss at norske kommuner, som ofte er styrt av Senterpartiet og Arbeiderpartiet, er glad i å skattlegge folk. Fremskrittspartiet er bekymra over vanlige folk sin økonomi, der strøm, matvarer og drivstoff blir dyrere. På toppen av dette kommer økte skatter og gebyr fra norske kommuner. 
Vil statsråden sitte og se på at dette skjer, eller er han enig med Fremskrittspartiet i at eiendomsskatt til kommuner med overskudd burde vært unngått?",Helge André Njåstad,Fremskrittspartiet,2023-03-22,2023-03-29
3116,2022-2023,"Mange nordmenn har fått sin psykologutdannelse ved ELTE-universitetet  det siste tiåret. På grunn av en regelendring står flere titalls psykologistudenter uten godkjenning av utdannelsen sin. De siste gjenstående ELTE-psykologene har fått avslag på autorisasjon i Norge, uten å ha fått vurdert sin kompetanse.
Hvordan kan statsråden forsvare at ELTE-psykologene ikke har fått oppfylt sin rett til individuell vurdering, men bare mottatt avslag på generelt grunnlag etter at praksisendringen for psykologutdannelse kom?",Bård Hoksrud,Fremskrittspartiet,2023-03-16,2023-03-29
3117,2022-2023,"Rødt mener at tennene er en del av kroppen, og at tannhelse skal være en selvfølgelig del av velferdstjenesten. Her er vi heldigvis i godt selskap. Vi har et stortingsflertall som mener det samme, og en regjering som har som mål å likestille den offentlige tannhelsetjenesten med andre helsetjenester. Så langt har vi likevel ikke sett noen stor satsing på feltet utover rabatt til de unge. 
Når ser regjeringa for seg at tannhelsereformen som skal likestille tannhelse med resten av helsetjenesten, kan bli en realitet?",Marie Sneve Martinussen,Rødt,2023-03-16,2023-03-29
3118,2022-2023,"I Norge kan du være sikker på at du får helsehjelp selv om du mangler penger. Det gjelder bare ikke om helseproblemet sitter i tennene. Fra tidligere SSB-undersøkelser vet vi at tannhelsehjelp er en av de tingene folk med dårlig råd må kutte ut. Nå vet vi at strømpriser, rentehevinger og inflasjon presser mange flere ut i fattigdom. Tannlegene forteller at folk avbestiller timer fordi de ikke kan betale regninga. 
Hva vil regjeringa gjøre for å sikre at også folk med dårlig råd kan gå til tannlegen?",Mímir Kristjánsson,Rødt,2023-03-16,2023-03-29
3119,2022-2023,"Folk lever med smerter fordi de ikke har råd til å gå til tannlege. I dag finnes det noen grupper som har krav på støtte til tannhelse, men mange får ikke den hjelpa de trenger. Folk i Norge får mindre støtte til tannhelse nå enn før. Ordninga har ikke blitt prisjustert, nye forskrifter strammer inn reglene for hvem som skal få hjelp, og takstene er satt for lavt til å dekke kostnadene. Ifølge Hurdalsplattformen skal regjeringa sikre at de som har krav på gratis behandling, får et godt tilbud, og støtteordningene skal styrkes. 
Når skal folk få merke det?",Seher Aydar,Rødt,2023-03-16,2023-03-29
3120,2022-2023,"Drammen kommunes nye arealplan kan, hvis den blir vedtatt, føre til at 2 600 mål natur og matjord går tapt fram mot 2030. Samtidig vil regjeringen verne 30 prosent natur og restaurere like mye natur innen 2030 som en  oppfølging av FNs naturavtale. Hvis dagens utvikling fortsetter, vil mye norsk natur forsvinne som følge av lokale vedtak, uten at noen har en samlet oversikt.
Hvordan vil statsråden bidra til at Drammen og andre norske kommuner stanser videre naturødeleggelse, og i stedet bidrar til at Norge oppfyller målene i naturavtalen?",Rasmus Hansson,Miljøpartiet De Grønne,2023-03-16,2023-03-29
3121,2022-2023,"Trendene i SHoT-undersøkelsen, Studiebarometeret og levekårsundersøkelsen blant studenter peker i samme retning: Flere studenter sliter med psykisk uhelse. Samtidig synker trivselen og motivasjonen for å studere.
Hvilke tiltak vil statsråden sette i gang for å motvirke dette?",Kari-Anne Jønnes,Høyre,2023-03-16,2023-03-29
3122,2022-2023,"Et av de ufravikelige kravene da Norge tilsluttet seg ACER og tredje energimarkedspakke, var at norsk fornybar kraftproduksjon skal bidra til økt verdiskaping og sysselsetting i Norge. I dag betaler folk og bedrifter en skyhøy strømpris, selv for rimelig fornybar vannkraft. Vi ser bedrifter som stenger ned produksjonen og selger krafta dyrt på strømbørsen i stedet. Andre går til oppsigelser, som REC Solar.
Ser statsråden at dagens politikk, uten noen begrensninger på prisen selskapene tar, motarbeider sysselsetting og verdiskaping?",Bjørnar Moxnes,Rødt,2023-03-16,2023-03-22
3123,2022-2023,"Et ufravikelig krav ved innlemmelsen i ACER var at flaskehalsinntektene fortsatt skal kunne benyttes til å redusere nettleia. Regjeringa har i 2022 og 2023 betalt ut deler av statens store strøminntekter til nettselskapene, slik at de reduserer nettleia og ikke øker regningen til kundene. Men her brukes ikke inntektene fra krafthandel med EU-land, for det bryter EU-reglene. Dette er store summer som kunne redusert regninga til folk og bedrifter enda mer.
Hvorfor forhandler ikke regjeringa fram et unntak, og oppfyller kravet?",Geir Jørgensen,Rødt,2023-03-16,2023-03-22
3124,2022-2023,"Vi ser en negativ utvikling i ungdomskriminalitet i Sør-Norge. Spesielt er kriminaliteten blant barn og unge i Kristiansand økende og alarmerende, særlig i de yngste aldersgruppene. Barn helt ned i 12-års alderen utfører kriminalitet, blant annet vold og ran. Vold fra ungdom under 15 år har fordoblet seg de siste årene. Politiet uttaler at de har få gode virkemidler å sette inn.
Er statsråden klar over situasjonen, og har statsråden planer om å komme med forslag til løsninger, samt gi politiet flere virkemidler?",Marius Arion Nilsen,Fremskrittspartiet,2023-03-16,2023-03-22
3125,2022-2023,"I dag, 22. mars, er det fem år siden Stortinget vedtok EUs tredje energimarkedspakke og innlemmelsen i EU-byrået ACER.  I den forbindelse ble det formulert åtte ufravikelige krav fra Arbeiderpartiet. Et av disse er krav om nasjonal og samfunnsmessig kontroll over vannkraften. Et foreslått grep for økt kontroll er å skille mellom pris på innenlandsstrøm og strøm brukt til eksport. En EU-kilde sa til NTB i januar at energimarkedspakken stanser dette, og fikk støtte fra en statssekretær. 
Er statsråden enig i at dette viser at vi mangler kontroll?",Sofie Marhaug,Rødt,2023-03-16,2023-03-22
